rho,n_cells,bottom_mean,rand_mean,top_mean,full_order_holds,top_lt_rand,bottom_gt_rand
5,5,0.737,0.456,0.183,5/5,5/5,5/5
10,3,0.296,0.199,0.154,0/3,2/3,1/3
