contrast,mean_diff,std,n_pairs,n_neg,n_pos,wilcoxon_W,wilcoxon_p_approx
top_minus_rand_retention,-0.187702,0.169212,8,7,1,3.0,0.042315274905714004
bottom_minus_rand_retention,0.211821,0.197255,8,2,6,3.0,0.042315274905714004
