contrast,mean_diff,std_diff,cohen_dz,boot_ci_low,boot_ci_high,n_pairs,wilcoxon_p,holm_adjusted_p,n_neg,n_pos
top_minus_rand,-0.187702,0.180896,-1.0376,-0.298857,-0.063388,8,0.042315,0.084631,7,1
bottom_minus_rand,0.211821,0.210875,1.0045,0.079535,0.350608,8,0.042315,0.084631,2,6
